feature,importance
num__Tenure,0.30328678317026314
num__Complain,0.09216291753725424
cat__TenureGroup_新用户,0.06858830544622795
num__CashbackAmount,0.06804634880173849
cat__PreferedOrderCat_Mobile Phone,0.044311241262393074
num__DaySinceLastOrder,0.04139836161391525
num__NumberOfAddress,0.03335732754849037
num__WarehouseToHome,0.028095269546302634
num__SatisfactionScore,0.026683671581959136
cat__TenureGroup_13-24个月,0.02630893542368272
cat__MaritalStatus_Single,0.025181394319342444
num__CityTier,0.025010028498923854
cat__TenureGroup_0-6个月,0.02255558961350381
cat__TenureGroup_24个月以上,0.020946561244749643
num__NumberOfDeviceRegistered,0.020792351220257375
num__OrderAmountHikeFromlastYear,0.018282405986128604
cat__PreferedOrderCat_Laptop & Accessory,0.01767431723273811
num__OrderCount,0.015246401193305054
cat__TenureGroup_7-12个月,0.014054017714905028
cat__MaritalStatus_Married,0.013005398837019986
num__CouponUsed,0.011292056826325997
cat__PreferredPaymentMode_Credit Card,0.007713782782850266
cat__PreferedOrderCat_Fashion,0.00706177597636545
cat__Gender_Male,0.0053580966465526314
num__IsMobileLogin,0.004898977400652804
num__HourSpendOnApp,0.004684983297597042
cat__PreferredPaymentMode_E wallet,0.004631769628596177
cat__PreferredLoginDevice_Mobile Phone,0.00463128385893904
cat__PreferredLoginDevice_Computer,0.00456350490482122
cat__PreferredPaymentMode_Cash on Delivery,0.00404278123960978
cat__PreferredPaymentMode_Debit Card,0.003896787997897166
cat__Gender_Female,0.003788646438361496
cat__PreferedOrderCat_Grocery,0.003488430490600632
cat__PreferredPaymentMode_UPI,0.001978976251507534
cat__MaritalStatus_Divorced,0.001597214359326917
cat__PreferedOrderCat_Others,0.0013833041068948989
